ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,MFN2,MAPK14,COPG1,HSPA5,AP3B2,GGA1,COPB1,COPB2,BIN1,VPS29,SEC31A,VPS26A,RAB1B,AP2B1,ITPR1,APBA2,MAPKAPK2,GGA3,COPA,VDAC1,APP,SEC16A,COPE,APBA1,CLU,RAB1A,AP1G1,GORASP1,GGA2,ADAM17,TMED2,RTN3,OSBP,SEC24B,ITPR2,APOE,SEC23A,SEC13,ECE1,RTN4,TMED10,AP2A1,TMED9,VPS35,MIA3,VLDLR,ADAM10,SNX6,NCSTN,PSEN1,COPZ1,SNX4,SAR1A,HSPA9,BACE1,SORT1,SEC24C,SYK,SORL1,ARF6,COPG2,SEC23B,AP4M1,AP4B1,SAR1B,PREB,AP4S1,PICALM,SEC24D,PLCG2,LRP1,ABCA7,MAP2K3,PLG,SEC24A,IDE,SREBF2,AP4E1,EIF2S1,SIGMAR1
1,MAPKAPK2,VPS35,AP2A1,VPS29,SEC23A,RAB1B,TMED9,HSPA9,SEC24C,SEC24B,AP2B1,GGA3,MFN2,ITPR1,SORL1,OSBP,GGA1,VLDLR,VDAC1,COPB2,NCSTN,TMED10,APBA1,MAPK14,ADAM10,SYK,RTN4,MIA3,PICALM,SNX6,BACE1,COPG1,AP4M1,COPB1,LRP1,SAR1B,TMED2,IDE,ECE1,MAP2K3,SEC24A,HSPA5,SEC13,APOE,CLU,ADAM17,SNX4,COPA,VPS26A,PLCG2,COPE,AP1G1,SAR1A,APBA2,COPZ1,AP3B2,EIF2S1,BIN1,GORASP1,GGA2,RAB1A,ARF6,APP,ITPR2,PSEN1,PREB,RTN3,SORT1,AP4B1,AP4S1,COPG2,SEC16A,SEC24D,SIGMAR1,SREBF2,ABCA7,PLG,SEC31A,AP4E1,SEC23B
2,BIN1,SORT1,RTN3,SAR1B,CLU,COPB1,COPA,VPS35,HSPA5,EIF2S1,SNX6,OSBP,VDAC1,ADAM17,NCSTN,IDE,RAB1B,RAB1A,GGA1,TMED2,VPS29,PSEN1,MFN2,SEC31A,SAR1A,APOE,TMED9,RTN4,AP2A1,APBA1,ITPR1,TMED10,VPS26A,MAPKAPK2,SEC24A,SEC23B,GGA3,AP3B2,PLCG2,ITPR2,SYK,SNX4,SORL1,AP1G1,MAPK14,ARF6,VLDLR,ECE1,APBA2,GORASP1,SEC24B,SEC13,APP,COPG1,HSPA9,COPE,SEC16A,COPB2,GGA2,ADAM10,PICALM,AP4S1,COPZ1,COPG2,AP2B1,SEC23A,AP4M1,SEC24C,PREB,LRP1,SEC24D,BACE1,PLG,MAP2K3,ABCA7,AP4B1,SREBF2,MIA3,SIGMAR1,AP4E1
3,SEC24B,SEC31A,SAR1B,HSPA5,LRP1,SEC13,VPS35,ITPR2,RTN4,VDAC1,CLU,SEC24A,HSPA9,AP2B1,ITPR1,APOE,RAB1B,MAPKAPK2,PLCG2,OSBP,IDE,GGA3,SORT1,APBA1,VPS26A,COPE,COPA,SYK,RTN3,AP2A1,MIA3,COPB1,GORASP1,GGA2,RAB1A,BACE1,SNX4,APP,ADAM10,ADAM17,VLDLR,SEC23A,ECE1,TMED10,ARF6,COPG1,MFN2,SNX6,NCSTN,GGA1,MAPK14,MAP2K3,SORL1,SREBF2,SEC23B,APBA2,SEC24C,SAR1A,VPS29,TMED9,PSEN1,TMED2,AP4S1,AP3B2,SEC16A,PREB,COPZ1,COPB2,PICALM,AP4M1,AP4B1,EIF2S1,AP1G1,BIN1,PLG,ABCA7,AP4E1,COPG2,SEC24D,SIGMAR1
4,MIA3,TMED10,SAR1B,TMED2,ADAM10,HSPA5,AP2B1,SORL1,RAB1A,TMED9,APOE,ITPR2,RAB1B,APP,AP2A1,GGA3,SNX6,VPS35,BIN1,LRP1,AP1G1,SYK,ITPR1,APBA2,COPG1,SORT1,MAPKAPK2,COPA,ECE1,ADAM17,MFN2,NCSTN,COPE,VDAC1,MAPK14,SNX4,SEC24B,SEC24A,GGA1,APBA1,VPS29,SEC31A,GGA2,AP4B1,ARF6,HSPA9,SEC23A,CLU,PICALM,SAR1A,PLCG2,PSEN1,EIF2S1,GORASP1,VLDLR,SEC13,AP4M1,IDE,RTN3,AP3B2,COPB1,COPG2,SEC24C,COPB2,COPZ1,VPS26A,MAP2K3,PREB,RTN4,BACE1,AP4S1,SEC16A,PLG,SEC23B,ABCA7,AP4E1,SEC24D,SREBF2,SIGMAR1,OSBP
5,ADAM10,VPS26A,SAR1B,NCSTN,VPS35,SORT1,PSEN1,CLU,APOE,SEC24C,SYK,SAR1A,SEC24A,EIF2S1,MAPK14,AP2B1,SNX6,SEC24B,VDAC1,APBA2,TMED9,SORL1,HSPA5,PLCG2,ITPR2,AP2A1,SEC23A,SEC16A,TMED10,COPE,IDE,COPG1,ITPR1,PICALM,BIN1,COPZ1,OSBP,AP3B2,VLDLR,GGA3,HSPA9,APP,VPS29,RAB1A,MAPKAPK2,ADAM17,MIA3,SEC31A,LRP1,MFN2,SNX4,SEC13,COPB2,RTN4,COPB1,SEC23B,RAB1B,AP4S1,AP4M1,ARF6,RTN3,COPA,COPG2,GORASP1,GGA1,GGA2,PREB,AP4B1,TMED2,ECE1,AP1G1,PLG,MAP2K3,BACE1,APBA1,AP4E1,SEC24D,ABCA7,SREBF2,SIGMAR1
6,SEC24C,MIA3,ADAM10,CLU,RTN4,PICALM,BIN1,RTN3,ITPR2,TMED10,ADAM17,COPB1,TMED2,VPS35,LRP1,SEC13,SEC31A,COPZ1,APBA1,APBA2,IDE,COPE,RAB1A,SORT1,MAPK14,PLCG2,COPB2,ECE1,HSPA5,SEC24B,VPS29,APOE,SEC23A,AP4B1,VPS26A,GGA2,VDAC1,GORASP1,SYK,GGA3,SORL1,AP2B1,BACE1,AP1G1,OSBP,SNX4,EIF2S1,NCSTN,SEC16A,HSPA9,VLDLR,AP3B2,RAB1B,MAP2K3,SNX6,APP,SAR1B,COPA,PREB,PSEN1,ITPR1,AP2A1,SEC24A,SEC24D,TMED9,AP4S1,MFN2,COPG1,AP4M1,SREBF2,MAPKAPK2,SAR1A,GGA1,ARF6,SEC23B,COPG2,ABCA7,PLG,AP4E1,SIGMAR1
7,GGA3,MFN2,RAB1B,TMED2,MIA3,COPA,APOE,APP,ADAM17,ITPR2,VPS35,TMED10,TMED9,ARF6,AP3B2,VDAC1,RTN3,SEC13,PSEN1,AP1G1,IDE,SAR1B,OSBP,VPS29,RAB1A,NCSTN,SORT1,VPS26A,COPE,COPZ1,HSPA9,SORL1,HSPA5,PREB,AP2A1,ITPR1,RTN4,MAPK14,COPB2,SAR1A,SEC31A,APBA1,SREBF2,MAPKAPK2,AP2B1,LRP1,ADAM10,SNX6,PLCG2,AP4M1,PICALM,BACE1,SYK,BIN1,SNX4,CLU,SEC24A,EIF2S1,SEC16A,COPG1,GORASP1,COPB1,MAP2K3,AP4B1,SEC24C,COPG2,APBA2,VLDLR,SEC24D,AP4S1,SEC23B,ABCA7,PLG,SEC23A,GGA1,AP4E1,SEC24B,GGA2,SIGMAR1,ECE1
8,ADAM10,ITPR2,VDAC1,APOE,TMED9,RTN3,VPS26A,COPB2,GGA2,CLU,NCSTN,EIF2S1,GORASP1,OSBP,RAB1A,GGA1,AP4M1,TMED10,SEC24A,VPS35,AP3B2,MAPK14,PSEN1,SEC13,ITPR1,SEC31A,BIN1,APP,IDE,HSPA5,AP2B1,COPE,SORT1,AP1G1,APBA1,COPG1,HSPA9,MFN2,GGA3,RAB1B,SEC23A,SEC16A,VLDLR,SNX6,APBA2,PLCG2,COPA,BACE1,AP2A1,COPB1,ECE1,PICALM,SYK,TMED2,COPZ1,MAP2K3,SAR1B,SORL1,RTN4,LRP1,MAPKAPK2,MIA3,ADAM17,SEC24C,SEC24B,AP4B1,SNX4,SAR1A,ARF6,COPG2,PREB,SREBF2,VPS29,ABCA7,SEC23B,PLG,SEC24D,AP4S1,SIGMAR1,AP4E1
9,BIN1,ADAM10,RAB1B,RAB1A,APBA1,LRP1,AP2B1,VDAC1,MIA3,HSPA5,EIF2S1,ITPR1,AP3B2,SNX6,SAR1A,SEC13,VPS35,TMED2,SEC23A,SEC31A,SAR1B,VPS26A,BACE1,SEC24C,ARF6,TMED9,RTN3,HSPA9,RTN4,OSBP,ECE1,GORASP1,SEC24A,VLDLR,MAPKAPK2,MFN2,GGA2,TMED10,AP2A1,SEC16A,VPS29,PSEN1,APOE,COPB1,CLU,NCSTN,ITPR2,SYK,SORT1,COPA,COPG1,SNX4,ADAM17,COPZ1,SREBF2,AP4M1,COPB2,MAPK14,APP,PLCG2,APBA2,PICALM,MAP2K3,SORL1,COPE,PREB,SEC24B,GGA3,GGA1,IDE,COPG2,AP4S1,AP4B1,AP1G1,SEC23B,PLG,AP4E1,SEC24D,ABCA7,SIGMAR1
