source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
VPS35,SNX6,0.4,0.0,0.0,190,9.374341491862325e-05,0.0006718278069168,0
VPS35,TMED10,0.2,0.0,0.0,190,0.20269766620231874,0.526249035272435,0
TMED2,RAB1B,0.4,0.0,0.0,190,0.5627011467303463,1.0,0
TMED10,SEC13,0.3,0.0,0.0,190,9.024215054434706e-21,1.2417319914902156e-18,0
ADAM17,ADAM10,0.2,0.0,0.0,0,1.0,1.0,0
TMED10,RTN3,0.2,0.0,0.0,190,1.0811250214508582e-11,3.3809727943554113e-10,0
TMED10,RAB1B,0.4,0.0,0.0,190,0.0001405108812710534,0.0008868943698576581,0
TMED10,RAB1A,0.4,0.0,0.0,190,0.047169989582002615,0.15602381169431634,0
TMED10,SIGMAR1,0.4,0.0,0.0,0,1.0,1.0,0
TMED2,ARF6,0.5,0.0,0.0,190,0.11170396258406688,0.31888932057194197,0
VPS29,VPS35,0.5,0.0,0.0,190,0.842554825844946,1.0,0
VPS35,BACE1,0.4,0.0,0.0,0,1.0,1.0,0
TMED10,SEC24D,0.7,0.0,0.0,0,1.0,1.0,0
ARF6,RAB1B,0.3,0.0,0.0,190,0.038565463311047724,0.1313516770198061,0
ARF6,RAB1A,0.3,0.0,0.0,190,0.7281485750483617,1.0,0
SIGMAR1,HSPA5,0.4,0.0,0.0,0,1.0,1.0,0
VPS26A,BACE1,0.3,0.0,0.0,0,1.0,1.0,0
BACE1,IDE,0.3,0.0,0.0,0,1.0,1.0,0
BACE1,GGA3,0.2,0.0,0.0,0,1.0,1.0,0
BACE1,GGA2,0.2,0.0,0.0,0,1.0,1.0,0
VPS29,VPS26A,0.5,0.0,0.0,190,2.134669230444111e-11,6.119385127273118e-10,0
TMED9,GGA2,0.2,0.0,0.0,0,1.0,1.0,0
TMED2,GORASP1,0.4,0.0,0.0,0,1.0,1.0,0
TMED2,GGA2,0.3,0.0,0.0,0,1.0,1.0,0
TMED2,TMED9,0.7,0.0,0.0,190,1.2721716673827679e-05,0.00012503630102276347,0
TMED9,ABCA7,0.2,0.0,0.0,0,1.0,1.0,0
TMED2,SEC23A,0.4,0.0,0.0,190,0.002609404741988697,0.01196846974992149,0
TMED2,SEC24A,0.3,0.0,0.0,0,1.0,1.0,0
TMED2,MAPKAPK2,0.3,0.0,0.0,0,1.0,1.0,0
TMED2,MAP2K3,0.4,0.0,0.0,0,1.0,1.0,0
VPS35,SNX4,0.4,0.0,0.0,190,0.7298955793728604,1.0,0
TMED2,SEC24D,0.7,0.0,0.0,0,1.0,1.0,0
TMED2,SIGMAR1,0.3,0.0,0.0,0,1.0,1.0,0
TMED2,PSEN1,0.5,0.0,0.0,0,1.0,1.0,0
TMED2,PREB,0.3,0.0,0.0,123,0.08458151476648154,0.2529187856247147,0
TMED2,PLCG2,0.2,0.0,0.0,0,1.0,1.0,0
ADAM10,NCSTN,0.2,0.0,0.0,0,1.0,1.0,0
TMED2,OSBP,0.6,0.0,0.0,190,9.315679053189963e-07,1.3174602156408662e-05,0
TMED2,NCSTN,0.4,0.0,0.0,0,1.0,1.0,0
TMED2,SEC16A,0.4,0.0,0.0,28,0.33000119947091805,0.7660463366440741,0
TMED2,SEC13,0.3,0.0,0.0,190,4.973273784605135e-08,9.247600983265763e-07,0
TMED2,SEC24B,0.3,0.0,0.0,164,0.010335811096918442,0.039726469467485405,0
ADAM17,APP,0.5,0.0,0.0,0,1.0,1.0,0
TMED10,SEC24A,0.3,0.0,0.0,0,1.0,1.0,0
TMED2,ABCA7,0.3,0.0,0.0,0,1.0,1.0,0
ADAM17,BACE1,0.3,0.0,0.0,0,1.0,1.0,0
TMED10,VDAC1,0.4,0.0,0.0,190,0.7079734833173128,1.0,0
ABCA7,APP,0.5,0.0,0.0,0,1.0,1.0,0
TMED10,TMED9,0.6,0.0,0.0,190,2.018163531710585e-12,7.713869498982681e-11,0
TMED10,SYK,0.2,0.0,0.0,0,1.0,1.0,0
TMED2,COPB2,0.6,0.0,0.0,190,9.57456552064583e-07,1.3174602156408662e-05,0
BACE1,GGA1,0.2,0.0,0.0,0,1.0,1.0,0
AP1G1,BACE1,0.5,0.0,0.0,0,1.0,1.0,0
ABCA7,APOE,0.5,0.0,0.0,0,1.0,1.0,0
TMED2,BACE1,0.6,0.0,0.0,0,1.0,1.0,0
ADAM10,TMED10,0.2,0.0,0.0,189,0.39405676472756224,0.8613833338932918,0
VPS26A,VPS35,0.5,0.0,0.0,190,5.220219660485484e-09,1.0883367049739433e-07,0
VPS29,BACE1,0.3,0.0,0.0,0,1.0,1.0,0
VDAC1,MFN2,0.4,0.0,0.0,190,0.005359153318579947,0.022078428043012,0
VLDLR,APOE,0.3,0.0,0.0,0,1.0,1.0,0
TMED10,HSPA5,0.4,0.0,0.0,190,0.10667219319330114,0.307073091702892,0
TMED10,GORASP1,0.4,0.0,0.0,0,1.0,1.0,0
TMED2,COPB1,0.7,0.0,0.0,190,0.0001114803704516424,0.000744645581269223,0
AP2B1,AP2A1,0.5,0.0,0.0,190,1.5492395468175748e-28,5.329384041052458e-26,0
BACE1,EIF2S1,0.2,0.0,0.0,0,1.0,1.0,0
BACE1,ECE1,0.2,0.0,0.0,0,1.0,1.0,0
BACE1,CLU,0.2,0.0,0.0,0,1.0,1.0,0
BACE1,APP,0.9,0.0,0.0,0,1.0,1.0,0
BIN1,BACE1,0.5,0.0,0.0,0,1.0,1.0,0
BIN1,AP2A1,0.3,0.0,0.0,190,0.08562283676830751,0.2529187856247147,0
BACE1,SORL1,0.2,0.0,0.0,0,1.0,1.0,0
BACE1,RTN3,0.2,0.0,0.0,0,1.0,1.0,0
APOE,LRP1,0.6,0.0,0.0,190,0.0010475460477962185,0.005299350594733811,0
ABCA7,BACE1,0.3,0.0,0.0,0,1.0,1.0,0
BACE1,MAPK14,0.2,0.0,0.0,0,1.0,1.0,0
BACE1,LRP1,0.2,0.0,0.0,0,1.0,1.0,0
APOE,CLU,0.4,0.0,0.0,190,1.449263902497736e-08,2.848838756909835e-07,0
APOE,BACE1,0.3,0.0,0.0,0,1.0,1.0,0
APOE,ABCA7,0.7,0.0,0.0,0,1.0,1.0,0
APBA2,PSEN1,0.2,0.0,0.0,0,1.0,1.0,0
APBA2,BACE1,0.4,0.0,0.0,0,1.0,1.0,0
AP2B1,BACE1,0.5,0.0,0.0,0,1.0,1.0,0
APOE,MAP2K3,0.2,0.0,0.0,0,1.0,1.0,0
BACE1,PSEN1,0.2,0.0,0.0,0,1.0,1.0,0
PLCG2,MAP2K3,0.4,0.0,0.0,0,1.0,1.0,0
PLCG2,EIF2S1,0.3,0.0,0.0,0,1.0,1.0,0
PLCG2,BACE1,0.2,0.0,0.0,0,1.0,1.0,0
PLCG2,APP,0.2,0.0,0.0,0,1.0,1.0,0
PREB,SEC24D,0.5,0.0,0.0,0,1.0,1.0,0
PLG,LRP1,0.3,0.0,0.0,0,1.0,1.0,0
MAPKAPK2,MAPK14,0.3,0.0,0.0,0,1.0,1.0,0
MAPKAPK2,HSPA5,0.3,0.0,0.0,0,1.0,1.0,0
MAPKAPK2,EIF2S1,0.3,0.0,0.0,0,1.0,1.0,0
MAPKAPK2,BACE1,0.2,0.0,0.0,0,1.0,1.0,0
MAPKAPK2,APP,0.2,0.0,0.0,0,1.0,1.0,0
MAPK14,TMED10,0.2,0.0,0.0,0,1.0,1.0,0
GORASP1,COPA,0.5,0.0,0.0,0,1.0,1.0,0
MFN2,OSBP,0.3,0.0,0.0,190,0.0001022845339493383,0.0007020940976834665,0
MFN2,ITPR2,0.5,0.0,0.0,125,0.6018755808982656,1.0,0
MFN2,HSPA5,0.3,0.0,0.0,190,3.715785172569269e-07,5.81013681529013e-06,0
MFN2,EIF2S1,0.4,0.0,0.0,190,0.002499910178976403,0.011621204075241656,0
MFN2,BACE1,0.2,0.0,0.0,0,1.0,1.0,0
MIA3,SEC16A,0.3,0.0,0.0,23,0.5126682723194771,1.0,0
MFN2,TMED2,0.3,0.0,0.0,190,0.00016520654791457733,0.0010179790233303036,0
MFN2,SIGMAR1,0.4,0.0,0.0,0,1.0,1.0,0
NCSTN,TMED10,0.2,0.0,0.0,0,1.0,1.0,0
NCSTN,PSEN1,0.6,0.0,0.0,0,1.0,1.0,0
NCSTN,LRP1,0.2,0.0,0.0,0,1.0,1.0,0
NCSTN,EIF2S1,0.2,0.0,0.0,0,1.0,1.0,0
NCSTN,BACE1,0.2,0.0,0.0,0,1.0,1.0,0
MAPK14,PSEN1,0.2,0.0,0.0,0,1.0,1.0,0
PICALM,BIN1,0.3,0.0,0.0,190,0.0001671971360993086,0.0010179790233303036,0
HSPA5,BACE1,0.3,0.0,0.0,0,1.0,1.0,0
GORASP1,TMED2,0.4,0.0,0.0,0,1.0,1.0,0
IDE,BACE1,0.2,0.0,0.0,0,1.0,1.0,0
IDE,APP,0.4,0.0,0.0,51,0.08565418175953274,0.2529187856247147,0
HSPA9,VDAC1,0.3,0.0,0.0,190,0.008994986497535802,0.035566383392555356,0
HSPA9,TMED2,0.3,0.0,0.0,190,0.05153651794142985,0.1672505865269044,0
HSPA9,MFN2,0.4,0.0,0.0,190,4.148768915201363e-11,1.0571677828364956e-09,0
ITPR1,SIGMAR1,0.3,0.0,0.0,0,1.0,1.0,0
ITPR1,OSBP,0.3,0.0,0.0,190,0.02254185164071382,0.07994223674644901,0
ITPR1,MFN2,0.4,0.0,0.0,190,0.8655613225686851,1.0,0
ITPR1,ITPR2,0.3,0.0,0.0,125,0.46316933832664775,0.9835200764467087,0
PLCG2,MAPK14,0.5,0.0,0.0,0,1.0,1.0,0
EIF2S1,HSPA5,0.6,0.0,0.0,190,0.0006703678648555875,0.0036897047281651534,0
EIF2S1,GGA2,0.2,0.0,0.0,0,1.0,1.0,0
EIF2S1,BACE1,0.7,0.0,0.0,0,1.0,1.0,0
ECE1,LRP1,0.2,0.0,0.0,0,1.0,1.0,0
ECE1,BACE1,0.2,0.0,0.0,0,1.0,1.0,0
EIF2S1,TMED10,0.3,0.0,0.0,190,1.2065565862834192e-05,0.00012207513696514593,0
EIF2S1,SORL1,0.2,0.0,0.0,170,0.5190327488544996,1.0,0
EIF2S1,PSEN1,0.2,0.0,0.0,0,1.0,1.0,0
PICALM,BACE1,0.5,0.0,0.0,0,1.0,1.0,0
PICALM,AP2A1,0.3,0.0,0.0,190,1.644293712416936e-05,0.0001528748748841692,0
PLG,CLU,0.2,0.0,0.0,0,1.0,1.0,0
PLG,APP,0.2,0.0,0.0,0,1.0,1.0,0
PLCG2,SYK,0.5,0.0,0.0,0,1.0,1.0,0
IDE,LRP1,0.3,0.0,0.0,51,0.2667549130709319,0.6554549292600041,0
APOE,SREBF2,0.6,0.0,0.0,0,1.0,1.0,0
APOE,SIGMAR1,0.2,0.0,0.0,0,1.0,1.0,0
TMED9,MAPKAPK2,0.4,0.0,0.0,0,1.0,1.0,0
TMED9,MAP2K3,0.5,0.0,0.0,0,1.0,1.0,0
TMED9,PSEN1,0.8,0.0,0.0,0,1.0,1.0,0
TMED9,SYK,0.2,0.0,0.0,0,1.0,1.0,0
TMED2,SYK,0.2,0.0,0.0,0,1.0,1.0,0
TMED9,BACE1,0.6,0.0,0.0,0,1.0,1.0,0
TMED9,GORASP1,0.3,0.0,0.0,0,1.0,1.0,0
ADAM10,BACE1,0.3,0.0,0.0,0,1.0,1.0,0
ADAM10,APP,0.8,0.0,0.0,189,0.3861401245528745,0.8569819538463795,0
ABCA7,VPS35,0.2,0.0,0.0,0,1.0,1.0,0
NCSTN,APP,0.6,0.0,0.0,0,1.0,1.0,0
ABCA7,PICALM,0.2,0.0,0.0,0,1.0,1.0,0
ABCA7,OSBP,0.4,0.0,0.0,0,1.0,1.0,0
ABCA7,LRP1,0.3,0.0,0.0,0,1.0,1.0,0
ABCA7,CLU,0.2,0.0,0.0,0,1.0,1.0,0
VLDLR,LRP1,0.3,0.0,0.0,0,1.0,1.0,0
VPS35,PICALM,0.3,0.0,0.0,190,1.1048910359725234e-06,1.4436795454840152e-05,0
GORASP1,RAB1A,0.3,0.0,0.0,0,1.0,1.0,0
TMED2,TMED10,0.9,0.0,0.0,190,1.7764495419156465e-05,0.0001587269201088266,0
TMED9,PLCG2,0.2,0.0,0.0,0,1.0,1.0,0
TMED9,NCSTN,0.6,0.0,0.0,0,1.0,1.0,0
TMED9,SIGMAR1,0.3,0.0,0.0,0,1.0,1.0,0
TMED9,SEC24D,0.5,0.0,0.0,0,1.0,1.0,0
VDAC1,BACE1,0.2,0.0,0.0,0,1.0,1.0,0
ABCA7,TMED2,0.3,0.0,0.0,0,1.0,1.0,0
MIA3,TMED2,0.3,0.0,0.0,170,8.034643406922497e-06,8.375507066610119e-05,0
MIA3,SEC24D,0.5,0.0,0.0,0,1.0,1.0,0
ITPR2,SIGMAR1,0.3,0.0,0.0,0,1.0,1.0,0
ITPR1,VDAC1,0.3,0.0,0.0,190,0.3296166710050136,0.7660463366440741,0
ITPR1,TMED10,0.3,0.0,0.0,190,0.5103597242341784,1.0,0
LRP1,CLU,0.5,0.0,0.0,190,0.5251308604044466,1.0,0
LRP1,BACE1,0.5,0.0,0.0,0,1.0,1.0,0
LRP1,APP,0.7,0.0,0.0,190,0.03558779037959439,0.12303718482995449,0
ITPR2,VDAC1,0.3,0.0,0.0,125,0.6042959273435174,1.0,0
ITPR2,TMED10,0.3,0.0,0.0,125,0.00010306904631690422,0.0007020940976834665,0
MAP2K3,PSEN1,0.2,0.0,0.0,0,1.0,1.0,0
MAP2K3,MAPKAPK2,0.6,0.0,0.0,0,1.0,1.0,0
MAP2K3,MAPK14,0.8,0.0,0.0,0,1.0,1.0,0
APOE,VLDLR,0.3,0.0,0.0,0,1.0,1.0,0
MAP2K3,BACE1,0.3,0.0,0.0,0,1.0,1.0,0
MAP2K3,APP,0.3,0.0,0.0,0,1.0,1.0,0
LRP1,VPS35,0.3,0.0,0.0,190,0.005778714335291931,0.0235251802525494,0
MAPK14,MAPKAPK2,0.8,0.0,0.0,0,1.0,1.0,0
MAPK14,MAP2K3,0.3,0.0,0.0,0,1.0,1.0,0
MAPK14,EIF2S1,0.3,0.0,0.0,0,1.0,1.0,0
MAPK14,BACE1,0.4,0.0,0.0,0,1.0,1.0,0
MAP2K3,TMED10,0.2,0.0,0.0,0,1.0,1.0,0
GORASP1,TMED10,0.4,0.0,0.0,0,1.0,1.0,0
GORASP1,SEC24D,0.3,0.0,0.0,0,1.0,1.0,0
ADAM10,PSEN1,0.2,0.0,0.0,0,1.0,1.0,0
APOE,SEC24D,0.5,0.0,0.0,0,1.0,1.0,0
APOE,PSEN1,0.2,0.0,0.0,0,1.0,1.0,0
MAP2K3,EIF2S1,0.3,0.0,0.0,0,1.0,1.0,0
SEC24C,SEC23A,0.5,0.0,0.0,190,0.0034551756792374835,0.015141152021117125,0
SEC24D,TMED10,0.4,0.0,0.0,0,1.0,1.0,0
SEC24D,SEC31A,0.4,0.0,0.0,0,1.0,1.0,0
SEC24D,SEC23B,0.5,0.0,0.0,0,1.0,1.0,0
SEC24D,SEC23A,0.5,0.0,0.0,0,1.0,1.0,0
SEC24D,SEC16A,0.4,0.0,0.0,0,1.0,1.0,0
SEC24D,SEC13,0.4,0.0,0.0,0,1.0,1.0,0
SEC24D,SAR1B,0.5,0.0,0.0,0,1.0,1.0,0
SEC24D,SAR1A,0.6,0.0,0.0,0,1.0,1.0,0
SEC16A,PREB,0.3,0.0,0.0,14,0.17083248182452615,0.4609127352755843,0
SEC16A,BACE1,0.2,0.0,0.0,0,1.0,1.0,0
SEC13,SEC24D,0.3,0.0,0.0,0,1.0,1.0,0
PICALM,LRP1,0.3,0.0,0.0,190,3.050247897951107e-05,0.00025592323826711727,0
SEC16A,SEC24D,0.6,0.0,0.0,0,1.0,1.0,0
EIF2S1,MAP2K3,0.3,0.0,0.0,0,1.0,1.0,0
EIF2S1,ITPR1,0.2,0.0,0.0,190,0.7225029668954286,1.0,0
GGA2,APP,0.5,0.0,0.0,0,1.0,1.0,0
GGA1,VPS35,0.3,0.0,0.0,67,0.13657129531583048,0.37584420470916546,0
GGA1,SORT1,0.3,0.0,0.0,67,0.0008085695532976434,0.004380282304478573,0
GGA1,SORL1,0.3,0.0,0.0,60,0.1288205419311945,0.3573731163252492,0
GGA1,GGA3,0.3,0.0,0.0,67,0.1208256083445909,0.3406886005781907,0
GGA1,GGA2,0.3,0.0,0.0,0,1.0,1.0,0
GGA1,BACE1,0.7,0.0,0.0,0,1.0,1.0,0
GGA3,BACE1,0.7,0.0,0.0,0,1.0,1.0,0
GGA2,VPS35,0.3,0.0,0.0,0,1.0,1.0,0
GGA2,SORT1,0.3,0.0,0.0,0,1.0,1.0,0
SEC16A,TMED10,0.4,0.0,0.0,28,0.20114604631550598,0.5261919386504491,0
SIGMAR1,EIF2S1,0.5,0.0,0.0,0,1.0,1.0,0
SIGMAR1,BACE1,0.2,0.0,0.0,0,1.0,1.0,0
SNX6,SNX4,0.3,0.0,0.0,190,0.679075216051994,1.0,0
SNX6,BACE1,0.3,0.0,0.0,0,1.0,1.0,0
SNX4,BACE1,0.3,0.0,0.0,0,1.0,1.0,0
SORL1,LRP1,0.5,0.0,0.0,170,0.5942416731344755,1.0,0
SORL1,GGA2,0.3,0.0,0.0,0,1.0,1.0,0
SORL1,BACE1,0.6,0.0,0.0,0,1.0,1.0,0
SORL1,APP,0.8,0.0,0.0,170,0.08255353895817265,0.25131342833284415,0
SEC24A,TMED2,0.2,0.0,0.0,0,1.0,1.0,0
SEC24A,SEC23A,0.4,0.0,0.0,0,1.0,1.0,0
SEC24A,SAR1A,0.3,0.0,0.0,0,1.0,1.0,0
SEC24C,TMED10,0.4,0.0,0.0,190,0.0004925447584480898,0.0027776294574777525,0
SEC24A,APP,0.3,0.0,0.0,0,1.0,1.0,0
SEC23B,TMED2,0.3,0.0,0.0,0,1.0,1.0,0
SEC23B,TMED10,0.3,0.0,0.0,0,1.0,1.0,0
SEC24C,SAR1A,0.3,0.0,0.0,190,0.6839985100618436,1.0,0
SEC24C,BACE1,0.2,0.0,0.0,0,1.0,1.0,0
SEC24B,SAR1A,0.3,0.0,0.0,164,0.43807198025449445,0.9418547575471632,0
SEC24B,BACE1,0.2,0.0,0.0,0,1.0,1.0,0
SEC24D,OSBP,0.4,0.0,0.0,0,1.0,1.0,0
SEC24D,MIA3,0.3,0.0,0.0,0,1.0,1.0,0
SEC24D,GORASP1,0.3,0.0,0.0,0,1.0,1.0,0
SEC24D,BACE1,0.3,0.0,0.0,0,1.0,1.0,0
SEC24D,APP,0.5,0.0,0.0,0,1.0,1.0,0
SEC24C,TMED2,0.4,0.0,0.0,190,0.24438213381315652,0.6113996656852789,0
SEC24A,BACE1,0.2,0.0,0.0,0,1.0,1.0,0
SAR1B,TMED2,0.4,0.0,0.0,174,0.19645350059863576,0.5178544383596223,0
SAR1B,TMED10,0.4,0.0,0.0,174,2.452425334097999e-06,2.8597773387447854e-05,0
SAR1B,SEC24D,0.7,0.0,0.0,0,1.0,1.0,0
PSEN1,LRP1,0.2,0.0,0.0,0,1.0,1.0,0
PSEN1,HSPA5,0.2,0.0,0.0,0,1.0,1.0,0
PSEN1,EIF2S1,0.2,0.0,0.0,0,1.0,1.0,0
PSEN1,BACE1,0.3,0.0,0.0,0,1.0,1.0,0
PSEN1,APP,0.7,0.0,0.0,0,1.0,1.0,0
PSEN1,ADAM10,0.2,0.0,0.0,0,1.0,1.0,0
PSEN1,TMED9,0.4,0.0,0.0,0,1.0,1.0,0
PSEN1,TMED10,0.4,0.0,0.0,0,1.0,1.0,0
PSEN1,SORL1,0.2,0.0,0.0,0,1.0,1.0,0
GGA2,GGA3,0.3,0.0,0.0,0,1.0,1.0,0
